Associationtype,Boardname,Companyname,Directorname,Overlapyearstart,Overlapyearend,Role,Associatedrole,Conncompanyorgtype,Boardid,Companyid,Directorid,Roletitle,Roleboardposition,Roleedflag,Overlapyearstart_int,Overlapyearend_int,Startcompanydatestartrole,Startcompanydateendrole,Conncompanydatestartrole,Conncompanydateendrole,Orgtype
NFP,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),NYSE Foundation,George McNamee,1987,1987,Chairman/President (Brd) (ED),Chairman,Charities,12,1141867,320417,Chairman/President,Brd,ED,1987,1987,1985-11-01,1989-01-01,,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Northwestern University,Doctor Henry Bienen,2010,2013,Independent Director (Brd) (SD),President Emeritus,Universities,12,61494,310234,Independent Director,Brd,SD,2010,2013,2010-05-27,2013-05-23,,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),United Football League (UFL),Doctor Henry Bienen,2010,2012,Independent Director (Brd) (SD),Chairman (Executive) (Brd) (ED),Sporting,12,1681453,310234,Independent Director,Brd,SD,2010,2012,2010-05-27,2013-05-23,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),META GROUP INC (De-listed 04/2005),George McNamee,2003,2004,Chairman (Brd) (ED),Director - SD (Brd) (SD),Quoted,12,20391,320417,Chairman,Brd,ED,2003,2004,1989-01-01,1993-01-01,1996-08-01,2004-04-01,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),MAPINFO CORP (De-listed 04/2007),George McNamee,1989,1993,Chairman (Brd) (ED),Independent Director (Brd) (SD),Quoted,12,19608,320417,Chairman,Brd,ED,1989,1993,2003-07-01,2007-09-21,1988-01-01,2003-11-12,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Onconova Therapeutics Inc (Listed 07/2013),Doctor Henry Bienen,2010,2013,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Private,12,530282,310234,Independent Director,Brd,SD,2010,2013,2010-05-27,2013-05-23,2009-05-01,2013-07-25,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Ryan Specialty Group (RSG) LLC,Doctor Henry Bienen,2012,2013,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,12,1646239,310234,Independent Director,Brd,SD,2012,2013,2010-05-27,2013-05-23,2012-01-01,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),First Albany Companies Inc,George McNamee,2001,2002,Chairman/Co-CEO (Brd) (ED),Chairman (Brd) (SD),Private,12,1576712,320417,Chairman/Co-CEO,Brd,ED,2001,2002,1993-01-01,2003-07-01,,2002-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),MetaCarta Inc,George McNamee,2007,2009,Director - SD (Brd) (SD),Director - SD (Brd) (SD),Private,12,650101,320417,Director - SD,Brd,SD,2007,2009,1969-01-01,1975-01-01,2005-09-08,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),IROBOT CORP,George McNamee,1999,2003,Chairman/Co-CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,12,464072,320417,Chairman/Co-CEO,Brd,ED,1999,2003,1993-01-01,2003-07-01,1999-08-01,2006-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Autotask Corp,George McNamee,2005,2007,Chairman (Brd) (ED),Director - SD (Brd) (SD),Private,12,863401,320417,Chairman,Brd,ED,2005,2007,2003-07-01,2007-09-21,2005-01-01,2012-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Home Shopping Network (HSN) Inc,George McNamee,1993,1993,Chairman (Brd) (ED),Director - SD (Brd) (SD),Private,12,94252,320417,Chairman,Brd,ED,1993,1993,2003-07-01,2007-09-21,1993-01-01,1996-01-01,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),MECHANICAL TECHNOLOGY INC (De-listed 04/2009),George McNamee,1998,2002,Chairman/Co-CEO (Brd) (ED),CEO (Brd) (ED),Quoted,12,20024,320417,Chairman/Co-CEO,Brd,ED,1998,2002,1993-01-01,2003-07-01,1998-04-01,2002-07-03,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),NMD Interactive Inc (StreetEasy Inc),George McNamee,2006,2007,Chairman (Brd) (ED),Director - SD (Brd) (SD),Private,12,1635631,320417,Chairman,Brd,ED,2006,2007,2003-07-01,2007-09-21,2006-01-01,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Rasmussen College Inc (Deltak Edu Inc prior to 12/4/2006),Doctor Henry Bienen,2010,2012,Independent Director (Brd) (SD),Vice Chairman,Universities,12,575752,310234,Independent Director,Brd,SD,2010,2012,2010-05-27,2013-05-23,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),PLUG POWER INC,George McNamee,2003,2007,Chairman (Brd) (ED),Independent Chairman (Brd) (SD),Quoted,12,24645,320417,Chairman,Brd,ED,2003,2007,2003-07-01,2007-09-21,1997-06-01,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Yale Development Board,George McNamee,2008,2009,Director - SD (Brd) (SD),Member,Private,12,99676,320417,Director - SD,Brd,SD,2008,2009,2007-09-21,2009-04-16,,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Grosvenor Registered Multi-Strategy Fund (TE) LLC,Doctor Henry Bienen,2012,2013,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,12,1916546,310234,Independent Director,Brd,SD,2012,2013,2010-05-27,2013-05-23,,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),NMD Interactive Inc (StreetEasy Inc),George McNamee,2006,2007,Chairman (Brd) (ED),Director - SD (Brd) (SD),Private,12,1635631,320417,Chairman,Brd,ED,2006,2007,1989-01-01,1993-01-01,2006-01-01,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Autotask Corp,George McNamee,2007,2009,Director - SD (Brd) (SD),Director - SD (Brd) (SD),Private,12,863401,320417,Director - SD,Brd,SD,2007,2009,1969-01-01,1975-01-01,2005-01-01,2012-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),NMD Interactive Inc (StreetEasy Inc),George McNamee,2007,2009,Director - SD (Brd) (SD),Director - SD (Brd) (SD),Private,12,1635631,320417,Director - SD,Brd,SD,2007,2009,2007-09-21,2009-04-16,2006-01-01,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Autotask Corp,George McNamee,2005,2007,Chairman (Brd) (ED),Director - SD (Brd) (SD),Private,12,863401,320417,Chairman,Brd,ED,2005,2007,2003-07-01,2007-09-21,,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),New York Conservation Education Fund,George McNamee,2004,2007,Chairman (Brd) (ED),Director - SD,Private,12,565184,320417,Chairman,Brd,ED,2004,2007,1989-01-01,1993-01-01,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),OMEGA UNDERWRITING HLDGS PLC (De-listed 11/2006),Walter Fiederowicz,2003,2004,Independent Director (Brd) (SD),Chairman (Non-Executive) (Brd) (SD),Quoted,12,599842,341979,Independent Director,Brd,SD,2003,2004,1996-05-30,2004-01-01,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),HERITAGE UNDERWRITING AGENCY PLC (De-listed 06/2008),Walter Fiederowicz,2001,2002,Independent Director (Brd) (SD),Chairman (Brd) (SD),Quoted,12,632631,341979,Independent Director,Brd,SD,2001,2002,1996-05-30,2004-01-01,2001-07-01,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),PHOTRONICS INC,Walter Fiederowicz,2004,2006,Lead Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,12,24404,341979,Lead Independent Director,Brd,SD,2004,2006,2004-01-01,2006-09-28,1984-01-01,2012-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Omega Insurance Hldgs Ltd (Listed 11/2006),Walter Fiederowicz,2006,2006,Lead Independent Director (Brd) (SD),Chairman (Non-Executive) (Brd) (SD),Private,12,1075045,341979,Lead Independent Director,Brd,SD,2006,2006,2004-01-01,2006-09-28,,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Meacock Capital PLC,Walter Fiederowicz,1998,2004,Independent Director (Brd) (SD),Chairman (Brd) (SD),Private,12,56991,341979,Independent Director,Brd,SD,1998,2004,1996-05-30,2004-01-01,1998-11-06,2010-05-20,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Syndicate 958 Ltd,Walter Fiederowicz,1996,1997,Independent Director (Brd) (SD),Underwriter (Non-Brd),Private,12,864939,341979,Independent Director,Brd,SD,1996,1997,1996-05-30,2004-01-01,1996-01-01,1997-01-01,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),PHOTRONICS INC,Walter Fiederowicz,1996,2004,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,12,24404,341979,Independent Director,Brd,SD,1996,2004,1996-05-30,2004-01-01,1984-01-01,2012-01-01,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Litchfield Historical Society (The),Walter Fiederowicz,2006,2006,Lead Independent Director (Brd) (SD),Director - SD,Private,12,2212315,341979,Lead Independent Director,Brd,SD,2006,2006,2004-01-01,2006-09-28,,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Hematech LLC,Walter Fiederowicz,1998,1999,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,12,632439,341979,Independent Director,Brd,SD,1998,1999,1996-05-30,2004-01-01,1998-01-01,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),CDT Corp,Walter Fiederowicz,1998,1999,Independent Director (Brd) (SD),Chairman (Brd) (SD),Private,12,632563,341979,Independent Director,Brd,SD,1998,1999,1996-05-30,2004-01-01,1998-01-01,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),WORLDCORP INC,Walter Fiederowicz,1997,1997,Independent Director (Brd) (SD),President/CEO (Brd) (ED),Quoted,12,33728,341979,Independent Director,Brd,SD,1997,1997,1996-05-30,2004-01-01,1997-04-01,1997-08-01,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),INTELIDATA TECHNOLOGIES CORP,Walter Fiederowicz,1996,1997,Independent Director (Brd) (SD),President/CEO (Brd) (ED),Quoted,12,16243,341979,Independent Director,Brd,SD,1996,1997,1996-05-30,2004-01-01,1996-08-05,1997-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),First Albany Companies Inc,Walter Fiederowicz,1996,2004,Independent Director (Brd) (SD),Lead Director (Brd) (SD),Private,12,1576712,341979,Independent Director,Brd,SD,1996,2004,1996-05-30,2004-01-01,1996-01-01,2006-09-28,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Meacock Capital PLC,Walter Fiederowicz,2004,2006,Lead Independent Director (Brd) (SD),Chairman (Brd) (SD),Private,12,56991,341979,Lead Independent Director,Brd,SD,2004,2006,2004-01-01,2006-09-28,1998-11-06,2010-05-20,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),OMEGA UNDERWRITING HLDGS PLC (De-listed 11/2006),Walter Fiederowicz,2004,2006,Lead Independent Director (Brd) (SD),Chairman (Non-Executive) (Brd) (SD),Quoted,12,599842,341979,Lead Independent Director,Brd,SD,2004,2006,2004-01-01,2006-09-28,,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),First Albany Companies Inc,Walter Fiederowicz,2004,2006,Lead Independent Director (Brd) (SD),Lead Director (Brd) (SD),Private,12,1576712,341979,Lead Independent Director,Brd,SD,2004,2006,2004-01-01,2006-09-28,1996-01-01,2006-09-28,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),MatlinPatterson Global Advisers LLC,Frank Plimpton,2007,2008,Director - SD (Brd) (SD),Partner (Non-Brd),Private,12,664105,341468,Director - SD,Brd,SD,2007,2008,2007-09-21,2010-05-27,2002-07-01,2008-01-01,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),CAPLEASE INC (Capital Lease Funding prior to 08/2007) (De-listed 11/2013),Michael Gagliardi,2012,2013,Independent Contractor (Non-Brd),Independent Director (Brd) (SD),Quoted,12,537732,338695,Independent Contractor,Non-Brd,,2012,2013,2012-05-01,2014-07-28,2004-03-01,2013-11-05,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Weston International Capital Ltd (WICL),Michael Gagliardi,2012,2014,Independent Contractor (Non-Brd),Chairman/Co-Chief Investment Officer (Brd) (ED),Private,12,2829924,338695,Independent Contractor,Non-Brd,,2012,2014,2012-05-01,2014-07-28,2011-01-01,2018-01-01,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Kroc Institute for International Peace Studies University of Notre Dame,Mark McGrath,2008,2014,Senior Advisor (Non-Brd),Advisory Council Member,Universities,12,1517204,333598,Senior Advisor,Non-Brd,,2008,2014,2005-01-01,2014-07-28,,,Quoted
NFP,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Chicago Symphony Orchestra Association (CSO),Mark McGrath,2012,2014,Senior Advisor (Non-Brd),Trustee,Charities,12,863508,333598,Senior Advisor,Non-Brd,,2012,2014,2005-01-01,2014-07-28,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),KONINKLIJKE AHOLD DELHAIZE NV (Koninklijke Ahold NV prior to 07/2016),Mark McGrath,2008,2014,Senior Advisor (Non-Brd),Independent Board Member (Brd) (SD),Quoted,12,1118,333598,Senior Advisor,Non-Brd,,2008,2014,2005-01-01,2014-07-28,2008-04-23,2015-07-08,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),McKinsey & Co Inc,Mark McGrath,2005,2014,Senior Advisor (Non-Brd),Director Emeritus (Non-Brd),Private,12,104667,333598,Senior Advisor,Non-Brd,,2005,2014,2005-01-01,2014-07-28,2004-01-01,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Gleacher Partners LLC,Mark McGrath,2005,2008,Senior Advisor (Non-Brd),Senior Advisor (Non-Brd),Private,12,533198,333598,Senior Advisor,Non-Brd,,2005,2008,2005-01-01,2014-07-28,2005-01-01,2008-01-01,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),KONINKLIJKE AHOLD DELHAIZE NV (Koninklijke Ahold NV prior to 07/2016),Mark McGrath,2008,2014,Senior Advisor (Non-Brd),Independent Board Member (Brd) (SD),Quoted,12,1118,333598,Senior Advisor,Non-Brd,,2008,2014,2005-01-01,2014-07-28,2016-07-24,2019-04-10,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),BioWish Technologies Inc,Mark McGrath,2010,2014,Senior Advisor (Non-Brd),Advisor (Non-Brd),Private,12,1673044,333598,Senior Advisor,Non-Brd,,2010,2014,2005-01-01,2014-07-28,,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Lincoln Park Zoological Society,Mark McGrath,2009,2011,Senior Advisor (Non-Brd),Director - SD,Private,12,74452,333598,Senior Advisor,Non-Brd,,2009,2011,2005-01-01,2014-07-28,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),GATX CORP,Mark McGrath,2005,2014,Senior Advisor (Non-Brd),Independent Director (Brd) (SD),Quoted,12,12886,333598,Senior Advisor,Non-Brd,,2005,2014,2005-01-01,2014-07-28,2005-01-01,2014-01-15,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),AWARE INC,Mark McGrath,2006,2012,Senior Advisor (Non-Brd),Independent Director (Brd) (SD),Quoted,12,3264,333598,Senior Advisor,Non-Brd,,2006,2012,2005-01-01,2014-07-28,2006-09-07,2012-05-04,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Broadpoint Capital Inc (First Albany Capital Inc prior to 12/2007),Doctor David Lessen,2009,2010,MD/Head of Division (Non-Brd),Various Positions (Non-Brd),Private,12,602642,1009624,MD/Head of Division,Non-Brd,,2009,2010,2009-09-01,2010-06-01,2009-05-01,2010-04-01,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),GOLDMAN SACHS GROUP INC,Bradley Bennett,2009,2009,Division VP (Non-Brd),Vice President (Non-Brd),Quoted,12,13564,1009770,Division VP,Non-Brd,,2009,2009,2009-05-12,2011-01-01,2001-01-01,2009-05-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),UBS Securities LLC,Doctor David Lessen,2007,2008,MD (Non-Brd),MD (Non-Brd),Private,12,577741,1009624,MD,Non-Brd,,2007,2008,,2009-09-01,2000-01-01,2008-12-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Broadpoint AmTech Inc,Mark Conley,2009,2012,Head of Research (Non-Brd),Head of Research (Non-Brd),Private,12,1558284,1009641,Head of Research,Non-Brd,,2009,2012,2008-01-01,2012-01-01,,2012-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Broadpoint AmTech Inc,Myles Lavelle,2009,2011,MD (Non-Brd),MD (Non-Brd),Private,12,1558284,1009640,MD,Non-Brd,,2009,2011,2009-01-01,2011-01-01,2009-01-01,2011-01-01,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),KNIGHT CAPITAL GROUP INC (Knight Trading Group prior to 05/2005) (De-listed 07/2013),Doctor David Lessen,2010,2010,MD/Head of Division (Non-Brd),Division MD (Non-Brd),Quoted,12,18024,1009624,MD/Head of Division,Non-Brd,,2010,2010,2009-09-01,2010-06-01,2010-06-10,2013-07-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Broadpoint Capital Inc (First Albany Capital Inc prior to 12/2007),Bradley Bennett,2009,2011,Division VP (Non-Brd),Division VP (Non-Brd),Private,12,602642,1009770,Division VP,Non-Brd,,2009,2011,2009-05-12,2011-01-01,2009-05-12,2011-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Broadpoint Capital Inc (First Albany Capital Inc prior to 12/2007),Matthew Swope,2009,2014,Division VP (Non-Brd),Division VP (Non-Brd),Private,12,602642,1009768,Division VP,Non-Brd,,2009,2014,2009-05-12,2014-07-28,2009-05-12,2014-07-28,Quoted
NFP,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),National Multiple Sclerosis Society Connecticut Chapter,Jason Partenza,2009,2011,Director - Non-Brd (Non-Brd),Committee Member,Charities,12,2806371,1009627,Director - Non-Brd,Non-Brd,,2009,2011,2009-09-01,2011-01-01,,,Quoted
